query	superkingdom	kingdom	subkingdom	superphylum	phylum	subphylum	superclass	class	subclass	infraclass	cohort	subcohort	superorder	order	suborder	infraorder	parvorder	superfamily	family	subfamily	tribe	subtribe	genus	subgenus	section	subsection	series	species group	species subgroup	species	subspecies	varietas	forma	forma specialis	strain	isolate
otu_149	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Pseudochromidae	Pseudochromidae	Pseudochromidae	Pseudochromidae	Pseudochromidae	Pseudochromidae	Pseudochromidae	Pseudochromidae	Pseudochrominae	Labracinus	Labracinus	Labracinus	unidentified Labracinus	unidentified Labracinus	unidentified Labracinus	unidentified Labracinus	unidentified Labracinus	unidentified Labracinus	unidentified Labracinus	unidentified Labracinus	unidentified Labracinus	unidentified Labracinus	unidentified Labracinus	unidentified Labracinus	unidentified Labracinus
otu_150	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Tetraodontiformes	Tetraodontiformes	Tetraodontiformes	Tetraodontoidei	Tetradontoidea	Tetradontoidea	Tetradontoidea	Tetraodontidae	Chelonodontops	Chelonodontops	Chelonodontops	Chelonodontops	Chelonodontops patoca	Chelonodontops patoca	Chelonodontops patoca	Chelonodontops patoca	Chelonodontops patoca	Chelonodontops patoca	Chelonodontops patoca	unidentified Chelonodontops patoca	unidentified Chelonodontops patoca	unidentified Chelonodontops patoca	unidentified Chelonodontops patoca	unidentified Chelonodontops patoca	unidentified Chelonodontops patoca
otu_151	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Lutjaniformes	Lutjaniformes	Lutjaniformes	Lutjanidae	Lutjanidae	Lutjanidae	Lutjanidae	Lutjanidae	Etelinae	Pristipomoides	Pristipomoides	Pristipomoides	Pristipomoides multidens	Pristipomoides multidens	Pristipomoides multidens	Pristipomoides multidens	Pristipomoides multidens	Pristipomoides multidens	Pristipomoides multidens	unidentified Pristipomoides multidens	unidentified Pristipomoides multidens	unidentified Pristipomoides multidens	unidentified Pristipomoides multidens	unidentified Pristipomoides multidens	unidentified Pristipomoides multidens
otu_152	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Ostariophysi	Cypriniphysae	Cypriniformes	Cyprinoidei	Danionidae	Danionidae	Danionidae	Danionidae	Chedrinae	Opsaridium	Opsaridium	Opsaridium	unidentified Opsaridium	unidentified Opsaridium	unidentified Opsaridium	unidentified Opsaridium	unidentified Opsaridium	unidentified Opsaridium	unidentified Opsaridium	unidentified Opsaridium	unidentified Opsaridium	unidentified Opsaridium	unidentified Opsaridium	unidentified Opsaridium	unidentified Opsaridium
otu_153	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Pleuronectiformes	Pleuronectiformes	Pleuronectiformes	Pleuronectoidei	Paralichthyidae	Paralichthyidae	Paralichthyidae	Paralichthyidae	Paralichthys	Paralichthys	Paralichthys	Paralichthys	Paralichthys dentatus	Paralichthys dentatus	Paralichthys dentatus	Paralichthys dentatus	Paralichthys dentatus	Paralichthys dentatus	Paralichthys dentatus	unidentified Paralichthys dentatus	unidentified Paralichthys dentatus	unidentified Paralichthys dentatus	unidentified Paralichthys dentatus	unidentified Paralichthys dentatus	unidentified Paralichthys dentatus
otu_154	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Blenniiformes	Blenniiformes	Blenniiformes	Blennioidei	Blenniidae	Blenniidae	Blenniidae	Blenniidae	Blenniinae	Petroscirtes	Petroscirtes	Petroscirtes	Petroscirtes breviceps	Petroscirtes breviceps	Petroscirtes breviceps	Petroscirtes breviceps	Petroscirtes breviceps	Petroscirtes breviceps	Petroscirtes breviceps	unidentified Petroscirtes breviceps	unidentified Petroscirtes breviceps	unidentified Petroscirtes breviceps	unidentified Petroscirtes breviceps	unidentified Petroscirtes breviceps	unidentified Petroscirtes breviceps
otu_155	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Zeiformes	Zeiformes	Zeiformes	Oreosomatidae	Oreosomatidae	Oreosomatidae	Oreosomatidae	Oreosomatidae	unidentified Oreosomatidae	unidentified Oreosomatidae	unidentified Oreosomatidae	unidentified Oreosomatidae	unidentified Oreosomatidae	unidentified Oreosomatidae	unidentified Oreosomatidae	unidentified Oreosomatidae	unidentified Oreosomatidae	unidentified Oreosomatidae	unidentified Oreosomatidae	unidentified Oreosomatidae	unidentified Oreosomatidae	unidentified Oreosomatidae	unidentified Oreosomatidae	unidentified Oreosomatidae	unidentified Oreosomatidae
otu_156	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Ostariophysi	Characiphysae	Gymnotiformes	Sternopygoidei	Sternopygidae	Sternopygidae	Sternopygidae	Sternopygidae	Eigenmannia	Eigenmannia	Eigenmannia	Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia	unidentified Eigenmannia
otu_157	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Sciaenidae	Sciaenidae	Sciaenidae	Sciaenidae	Sciaenidae	Sciaenidae	Sciaenidae	Sciaenidae	Otolithes	Otolithes	Otolithes	Otolithes	Otolithes ruber	Otolithes ruber	Otolithes ruber	Otolithes ruber	Otolithes ruber	Otolithes ruber	Otolithes ruber	unidentified Otolithes ruber	unidentified Otolithes ruber	unidentified Otolithes ruber	unidentified Otolithes ruber	unidentified Otolithes ruber	unidentified Otolithes ruber
otu_158	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Perciformes	Perciformes	Perciformes	Serranoidei	Serranidae	Serranidae	Serranidae	Serranidae	Serraninae	Hypoplectrus	Hypoplectrus	Hypoplectrus	unidentified Hypoplectrus	unidentified Hypoplectrus	unidentified Hypoplectrus	unidentified Hypoplectrus	unidentified Hypoplectrus	unidentified Hypoplectrus	unidentified Hypoplectrus	unidentified Hypoplectrus	unidentified Hypoplectrus	unidentified Hypoplectrus	unidentified Hypoplectrus	unidentified Hypoplectrus	unidentified Hypoplectrus
otu_159	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Uranoscopiformes	Uranoscopiformes	Uranoscopiformes	Uranoscopidae	Uranoscopidae	Uranoscopidae	Uranoscopidae	Uranoscopidae	Uranoscopus	Uranoscopus	Uranoscopus	Uranoscopus	Uranoscopus cognatus	Uranoscopus cognatus	Uranoscopus cognatus	Uranoscopus cognatus	Uranoscopus cognatus	Uranoscopus cognatus	Uranoscopus cognatus	unidentified Uranoscopus cognatus	unidentified Uranoscopus cognatus	unidentified Uranoscopus cognatus	unidentified Uranoscopus cognatus	unidentified Uranoscopus cognatus	unidentified Uranoscopus cognatus
otu_160	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Ostariophysi	Cypriniphysae	Cypriniformes	Cyprinoidei	Xenocyprididae	Xenocyprididae	Xenocyprididae	Xenocyprididae	Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae	unidentified Xenocypridinae
otu_161	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Gobiiformes	Gobiiformes	Gobiiformes	Gobioidei	Gobiidae	Gobiidae	Gobiidae	Gobiidae	Gobionellinae	Mugilogobius	Mugilogobius	Mugilogobius	Mugilogobius chulae	Mugilogobius chulae	Mugilogobius chulae	Mugilogobius chulae	Mugilogobius chulae	Mugilogobius chulae	Mugilogobius chulae	unidentified Mugilogobius chulae	unidentified Mugilogobius chulae	unidentified Mugilogobius chulae	unidentified Mugilogobius chulae	unidentified Mugilogobius chulae	unidentified Mugilogobius chulae
otu_162	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Perciformes	Perciformes	Perciformes	Percoidei	Percidae	Percidae	Percidae	Percidae	Etheostomatinae	Etheostoma	Etheostoma	Etheostoma	Oligocephalus	Etheostoma spectabile	Etheostoma spectabile	Etheostoma spectabile	Etheostoma spectabile	Etheostoma spectabile	Etheostoma spectabile	unidentified Etheostoma spectabile	unidentified Etheostoma spectabile	unidentified Etheostoma spectabile	unidentified Etheostoma spectabile	unidentified Etheostoma spectabile	unidentified Etheostoma spectabile
otu_163	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Otomorpha	Ostariophysi	Gonorynchiformes	Gonorynchiformes	Knerioidei	Kneriidae	Kneriidae	Kneriidae	Kneriidae	Cromerinae	unidentified Cromerinae	unidentified Cromerinae	unidentified Cromerinae	unidentified Cromerinae	unidentified Cromerinae	unidentified Cromerinae	unidentified Cromerinae	unidentified Cromerinae	unidentified Cromerinae	unidentified Cromerinae	unidentified Cromerinae	unidentified Cromerinae	unidentified Cromerinae	unidentified Cromerinae	unidentified Cromerinae	unidentified Cromerinae
otu_164	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Osmeriformes	Osmeriformes	Osmeriformes	Osmeridae	Osmeridae	Osmeridae	Osmeridae	Osmeridae	Hypomesinae	Hypomesus	Hypomesus	Hypomesus	Hypomesus nipponensis	Hypomesus nipponensis	Hypomesus nipponensis	Hypomesus nipponensis	Hypomesus nipponensis	Hypomesus nipponensis	Hypomesus nipponensis	unidentified Hypomesus nipponensis	unidentified Hypomesus nipponensis	unidentified Hypomesus nipponensis	unidentified Hypomesus nipponensis	unidentified Hypomesus nipponensis	unidentified Hypomesus nipponensis
otu_165	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Cichlomorphae	Cichlomorphae	Cichliformes	Cichlidae	Cichlidae	Cichlidae	Cichlidae	Cichlidae	Cichlasomatinae	Cichlasomatini	unidentified Cichlasomatini	unidentified Cichlasomatini	unidentified Cichlasomatini	unidentified Cichlasomatini	unidentified Cichlasomatini	unidentified Cichlasomatini	unidentified Cichlasomatini	unidentified Cichlasomatini	unidentified Cichlasomatini	unidentified Cichlasomatini	unidentified Cichlasomatini	unidentified Cichlasomatini	unidentified Cichlasomatini	unidentified Cichlasomatini	unidentified Cichlasomatini
otu_166	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Centrarchiformes	Centrarchiformes	Centrarchiformes	Terapontoidei	Terapontoidei	Terapontoidei	Terapontoidei	Girellidae	Girella	Girella	Girella	Girella	Girella punctata	Girella punctata	Girella punctata	Girella punctata	Girella punctata	Girella punctata	Girella punctata	unidentified Girella punctata	unidentified Girella punctata	unidentified Girella punctata	unidentified Girella punctata	unidentified Girella punctata	unidentified Girella punctata
otu_167	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Pleuronectiformes	Pleuronectiformes	Pleuronectiformes	Pleuronectoidei	Bothidae	Bothidae	Bothidae	Bothidae	unidentified Bothidae	unidentified Bothidae	unidentified Bothidae	unidentified Bothidae	unidentified Bothidae	unidentified Bothidae	unidentified Bothidae	unidentified Bothidae	unidentified Bothidae	unidentified Bothidae	unidentified Bothidae	unidentified Bothidae	unidentified Bothidae	unidentified Bothidae	unidentified Bothidae	unidentified Bothidae	unidentified Bothidae
otu_168	Eukaryota	Metazoa	Chordata	Chordata	Chordata	Craniata	Actinopterygii	Actinopteri	Neopterygii	Teleostei	Euteleosteomorpha	Anabantiformes	Anabantiformes	Anabantiformes	Anabantoidei	Osphronemidae	Osphronemidae	Osphronemidae	Osphronemidae	Luciocephalinae	Trichopodus	Trichopodus	Trichopodus	unidentified Trichopodus	unidentified Trichopodus	unidentified Trichopodus	unidentified Trichopodus	unidentified Trichopodus	unidentified Trichopodus	unidentified Trichopodus	unidentified Trichopodus	unidentified Trichopodus	unidentified Trichopodus	unidentified Trichopodus	unidentified Trichopodus	unidentified Trichopodus
